Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Provenance,LIA Group,Count,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,Cr2O3,MnO,FeO,CoO,CuO,MoO3,SnO2,Sb2O3,PbO,Total
K142,Tamdy,Tianshan Piedmont,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ10,Tianshan group,5,0.352187673,0.455442029,4.4736957,40.50948627,0.157710844,1.046127026,2.474075054,0.101518232,0.011591829,0.01288006,0.366749282,,0.020519594,,0.010096107,0.001528086,50.00639221,100
K142,Tamdy,Tianshan Piedmont,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Red,KAZ10,Tianshan group,3,0.126803042,0.399975916,5.391825738,32.54130875,0.189032134,0.501454639,2.681210346,0.194769486,0.048347345,0.014393584,2.019843729,,0.02357008,,0.003881203,0,55.863584,99.99999999
K142,Tamdy,Tianshan Piedmont,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Black,KAZ10,Tianshan group,5,0.130494556,0.564234635,2.651170995,36.46532969,0.180214119,0.484701428,2.574896748,0.09162785,0.152101635,0.009770679,0.765588438,,0.043911162,,0.003967022,0,55.88199104,100
K146,Tamdy,Tianshan Piedmont,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Monochrome,,Green,KAZ10,,5,0.449714758,0.442454169,4.587921775,38.69137824,0.072338084,1.237324501,1.725804067,0.119004924,0.007785924,0.009612411,0.398466916,,3.172361067,,0.002742118,0.038578817,49.04451223,100
K149,Bektobe,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ3,,5,0.364950208,0.292607069,3.543318014,38.14095162,0.062593783,1.072677444,0.527718057,0.077651861,0.009759372,0.007629712,0.215262452,,0.041188399,,0.005529981,0.056453736,55.5817083,100
K149,Bektobe,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Black,KAZ3,,5,0.184660166,0.293964555,4.164592765,34.0038897,0.1289271,0.660368967,0.55539541,0.210553606,0.010479827,1.407981153,2.215492161,,0.022132886,,0.001208188,0.037578814,56.1027747,100
K151,Bektobe,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Brown,KAZ12,,5,0.175333491,0.382243872,2.968945436,37.91254297,0.086918327,0.396245286,0.947364404,0.223533584,0.00975928,0.018566613,0.294409957,,0.047444844,,0.001839893,0,56.53485204,100
K156,Bektobe,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Transparent,KAZ12,,3,0.547363189,0.724675385,6.171865244,47.16904783,0.114672249,1.710137682,1.147776162,0.099866356,0.003313422,0.019504049,1.163773252,,1.466130396,,0.000551809,0.015409808,39.64591317,100
K156,Bektobe,Talas Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Green,KAZ12,,5,0.392548441,0.787967634,3.726926272,38.2615979,0.13045725,0.900761025,1.463521378,0.065021596,0.012070469,0.021031955,1.448285213,,3.824017714,,0.004811328,0.026586834,48.93439499,100
K169,Merki,Chu Valley,CAMECA SX100 Ultra electron probe microanalyzer,Glaze,Underglaze,,Brown,KAZ12,Tianshan group,5,0.148517329,0.632214812,2.822010272,38.4285852,0.067806035,0.404671327,1.478484749,0.049174566,0.01078136,0.650233715,0.905103599,,0.030195463,,0.001030453,0,54.37119112,100
