"Sample","Site","Region","Glaze_or_slip_color","Ware","Provenance","Al2O3","As2O3","BaO","CaO","Cl","CoO","Cr2O3","CuO","FeO","K2O","MgO","MnO","MoO3","Na2O","NiO2","P2O5","PbO","Sb2O3","SiO2","SnO2","SO3","TiO2","ZnO","Count"
"DK21","Dandanakan","Merv Oasis","","Monochrome","Quartz Opaque B ",18.9,NA,NA,2.675,NA,NA,NA,NA,1.7325,6.6975,0.67475,NA,NA,1.475,NA,0.366333333333333,12.3,NA,54.5,NA,NA,0.77475,NA,0
"K007","Lower Barskhan","Talas Valley","","Splashed","TAZ - Group 3",10.9,NA,NA,12.9,NA,0.00219,0.014,0.302,2.6,1.96,3.23,0.0462,NA,0.216,NA,1.24,19.7,NA,46.9,0.00391,NA,NA,NA,13
"K047","Aktobe","Chu Valley","","Monochrome","KAZ2",17.5,NA,NA,8.55,NA,0.00567,0.0146,0.0329,3.14,3.49,3.91,0.101,1.89e-05,1.11,NA,0.634,14.4,NA,47.1,0.00448,NA,NA,NA,8
"K047","Aktobe","Chu Valley","Lower","Monochrome","KAZ2",21.6,NA,NA,0.605,NA,0.0186,NA,0.109,0.731,3.35,0.847,0.00413,0.00191,0.834,NA,NA,18.7,NA,53.2,0.0102,NA,NA,NA,3
"K048","Aktobe","Chu Valley","Transparent","Underglaze","KAZ2",12,NA,NA,0.223,NA,NA,0.00856,0.00319,0.485,2.8,0.298,0.00827,NA,0.368,NA,0.156,19.3,NA,64.4,0.0084,NA,NA,NA,4
"K071","Aktobe","Chu Valley","","Underglaze","KAZ2",17.5,NA,NA,0.609,NA,NA,0.00643,0.0573,1.04,3.15,0.82,0.0126,NA,0.497,NA,1.16,17,NA,57.6,0.00224,NA,0.531,NA,5
"K077","Aktobe","Chu Valley","","Monochrome","KAZ2",22.5,NA,NA,1.41,NA,NA,0.00788,0.0156,1.34,2.8,0.601,0.0181,NA,0.958,NA,0.122,27.7,NA,41,0,NA,1.51,NA,2
"K099","Bektobe","Talas Valley","Lower","Underglaze","KAZ14",27.3,NA,NA,0.621,NA,NA,0.00711,0.0227,0.49,3.6,0.39,0.0313,NA,0.953,NA,0.245,20.5,0.0173,45.7,0.014,NA,0.0939,NA,3
"K099","Bektobe","Talas Valley","Upper","Underglaze","KAZ14",17.9,NA,NA,5.74,NA,NA,0.00665,0.0433,0.468,1.51,0.658,0.00536,NA,0.464,NA,0.134,18.7,0,54.3,0.00615,NA,0.0854,NA,3
"K124","Lower Barskhan","Talas Valley","","Underglaze","TAZ - Group 3",19.4,NA,NA,0.87,NA,NA,0.00852,0.0041,0.409,4.55,0.53,0.00591,NA,1.6,NA,0.0482,14.5,0.0316,57.8,0.00166,NA,0.183,NA,3
