ANID,Alternat_ ID,Site Name,NAA Group,Ware,Ware description,Date,Form,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,As,La,Lu,Nd,Sm,U,Yb,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
UZB019,BKH20-71-8,Bukhara,BUK,monochrome,monochrome white,10-11th c. CE,Open Vessel - Unknown,62.65,15.24,92.37,3.61,1.19,39223,4.37,48.27,62.63,2.48,14.47,379.39,1.01,0.75,11.11,86.44,149.62,18.74,31.95,0.39,30.07,5.79,3.6,2.82,77725,480.67,94717,4.42,24776,806.28,9178.3,3832.1,122.94
UZB020,BKH20-71-9,Bukhara,BUK,slipware,slip painted - λ pattern,beginning of 11th c. CE,Open Vessel - Bowl,62.91,17.08,96.78,7.63,1.13,42455,3.88,80.04,101.73,2.66,15.45,791.88,0.92,0.83,11.65,114.7,172.76,24.97,31.32,0.37,28.26,6.01,8.36,2.39,80150,586.97,105890,4.4,28828,935.61,8859.1,4399.1,127.28
UZB022,BKH20-78-10,Bukhara,BUK,slipware,polychrome slipware,10th-early 11th c. CE,Open Vessel - Bowl,62.39,16.09,98.55,6.56,1.15,40487,3.95,0,95.02,2.97,14.85,379.72,0.93,0.65,11.37,146.6,135.04,22.29,31.38,0.36,28.41,5.74,5.29,2.73,75024,552.28,97315,4.48,27757,879.39,8823.3,3785,124.63
UZB023,BKH20-82-15,Bukhara,BUK,slipware,polychrome slipware,end of 10th-early 11th c. CE,Open Vessel - Bowl,61.56,16.41,93.61,6.01,1.13,40332,3.95,0,80.6,2.21,15.06,340.95,0.91,0.87,11.18,101.7,102.23,19.28,30.36,0.38,28.77,5.41,3.57,2.83,75609,603.18,97978,4.25,21534,886.37,9746.1,3797.9,147.08
UZB024,BKH20-82-18,Bukhara,BUK,slipware,polychrome slipware,beginning of the 11th c. CE,Open Vessel - Bowl,60.32,15.73,90.69,6.17,1.07,39098,4.05,67.89,92.27,2.08,14.27,373.51,0.93,0.67,11.09,104.3,119.87,18.46,30.62,0.37,28.21,5.45,3.53,2.56,73636,493.28,95069,4.38,26330,821.56,7989.8,3655.6,119.38
UZB028,BKH20-87-34,Bukhara,BUK,slipware,slipware,end of 10th-early 11th c. CE,Open Vessel - Unknown,62.27,14.83,88.52,4.08,1.15,38051,4.23,0,66.07,2.16,14.39,426.36,0.95,0.86,11.12,109.69,136.95,20.82,31.37,0.38,30.02,5.61,4,2.86,78141,616.86,91321,4.83,20497,972.77,9831.9,3512.2,107.46
UZB030,BKH20-93-10,Bukhara,BUK,slipware,slipware - pseudo-calligraphic,beginning of 11th c. CE,Open Vessel - Unknown,60.81,15.37,88.84,5.79,1.09,40427,3.98,44.3,77.2,2.17,14.86,456.82,0.84,0.89,11.02,154.89,100.22,21.03,30.79,0.4,26.32,5.5,3.92,2.34,77264,559.42,105690,4.31,21749,872.71,8618.9,3725.5,111.77
UZB032,BKH20-93-13,Bukhara,BUK,slipware,polychrome slipware,beginning of 11th c. CE,Open Vessel - Bowl,60.57,13.9,89.53,7.43,1.1,39896,3.8,35.97,97.4,3.02,14.74,496.24,0.79,0.66,11,111.84,100.01,26.4,30.08,0.36,28.76,5.37,4.53,2.78,76195,550.85,112250,4.57,28866,865.42,8168,3436.1,125.95
UZB033,BKH20-93-15,Bukhara,BUK,slipware,polychrome slipware,end of 10th-beginning of 11th c. CE,Open Vessel - Bowl,60.46,13.98,82.77,5.04,1.12,37728,3.92,0,91.25,2.01,14.04,408.53,0.85,0.62,10.73,111.94,91.33,22.45,30.78,0.38,28.1,5.44,3.86,2.7,76702,515.33,91999,4.3,26987,757.24,8508.5,4053.1,120.44
UZB035,BKH20-93-23,Bukhara,BUK,slipware,polychrome slipware,mid 10th-early 11th c. CE,Open Vessel - Unknown,61.1,14.94,87.73,6.13,1.12,39413,4.07,45.7,85.91,2.17,14.82,386.73,0.89,0.97,10.98,113.73,126.48,21.63,30.76,0.38,29.2,5.45,3.52,3,73763,561.19,97270,4.49,24392,787.05,8084,3755,103.31
UZB036,BKH20-94-1,Bukhara,BUK,slipware,polychrome slipware,beginning of the 11th c. CE,Open Vessel - Unknown,63.41,15.16,87.15,5.51,1.15,40124,4.07,99.65,86.21,2.49,14.73,316.55,1.01,0.78,11.24,146.51,110.71,20.64,31.58,0.38,27.68,5.65,3.67,2.56,72520,551.44,92235,4.59,25407,812.17,8729.3,4350.2,113.94
UZB040,BKH20-99-9,Bukhara,BUK,slipware,polychrome slipware,end of 10th-early 11th c. CE,Open Vessel - Unknown,64.88,14.99,96.05,6.81,1.17,41517,4.39,0,104.53,2.46,15.39,343.6,1,0.94,11.65,97.86,118.03,24.8,33,0.41,28.26,6,3.4,2.56,76239,584.86,73855,5.02,32768,846.29,9514.4,4206.7,128.36
UZB041,BKH20-99-12,Bukhara,BUK,slipware,slipware - calligraphic,10th c. CE,Open Vessel - Unknown,60.13,14.42,86.84,5.58,1.09,38002,3.96,0,95.81,2.42,14.32,397.58,0.95,0.99,10.91,124.41,115.08,18.13,29.49,0.37,27.79,5.35,3.15,2.29,71623,536.44,90527,4.64,31188,801.56,8561.4,4109.7,107.19
UZB042,BKH20-119-6,Bukhara,BUK,slipware,slipware - pseudo calligraphic,2nd half of the 10th c. CE,Open Vessel - Unknown,61.67,14.79,89.74,3.62,1.11,39038,4.23,0,66.84,2.14,14.27,331.46,0.92,0.72,11.04,89.22,123.95,16.57,30.17,0.38,26.36,5.42,2.79,2.72,76069,618.69,92720,4.37,21769,748.05,8360.6,3886.6,109.9
UZB043,BKH20-119-11,Bukhara,BUK,slipware,polychrome slipware,end of 10th-beginning of 11th c. CE,Open Vessel - Unknown,62.89,15.19,92.22,7.09,1.15,41130,4.4,46.18,106.2,2.52,15,292.18,0.9,0.91,11.31,94.37,106.42,15.8,31.44,0.39,31.03,5.54,2.75,2.79,76346,589.78,83509,4.71,29991,729.69,8453.8,4283.3,123.49
